Jan Egil Andresen;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article540570.ece;
Anders Aukland;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article540569.ece
Frode Estil;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article540571.ece
Tord Asle Gjerdalen;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article540573.ece
Oddbjørn Hjelmeset;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article540574.ece
Tore Ruud Hofstad;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article540576.ece
Eldar Rønning;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article540575.ece
Jens Arne Svartedal;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article540578.ece
Marit Bjørgen;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article540557.ece
Ella Gjømle;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article540566.ece
Hilde G Pedersen;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article540559.ece
Kristin S. Steira;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article540562.ece
Kristin M. Stemland;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article540563.ece
Pål Trulsen;Curling;http://pub.tv2.no/nettavisen/sport/torino2006/article537592.ece
Lars Vågberg;Curling;
Flemming Davanger;Curling;
Bent Ånund Ramsfjell;Curling;
Torger Nergård;Curling;;
Dordi Nordby;Curling;http://pub.tv2.no/nettavisen/sport/torino2006/article537596.ece;
Marianne Haslum;Curling;;
Marianne Rørvik;Curling;;
Camilla Holth;Curling;;
Charlotte Hovring;Curling;;
Petter Tande;Kombinert;http://pub.tv2.no/nettavisen/sport/torino2006/article537533.ece;http://www.nrk.no/sport/meisterskap/torino_2006/5446115.html
Magnus Moan;Kombinert;http://pub.tv2.no/nettavisen/sport/torino2006/article537530.ece;http://www.nrk.no/sport/meisterskap/torino_2006/5446158.html
Kristian Hammer;Kombinert;http://pub.tv2.no/nettavisen/sport/torino2006/article537539.ece;
Ola M. Græsli;Kombinert;http://pub.tv2.no/nettavisen/sport/torino2006/article537549.ece;
Håvard Klemetsen;Kombinert;http://pub.tv2.no/nettavisen/sport/torino2006/article537555.ece;
Eskil Ervik;Skøyter;http://pub.tv2.no/nettavisen/sport/torino2006/article537748.ece;http://www.nrk.no/sport/meisterskap/torino_2006/5385650.html
Lasse Sætre;Skøyter;http://pub.tv2.no/nettavisen/sport/torino2006/article537749.ece;http://www.nrk.no/sport/meisterskap/torino_2006/5385695.html
Øystein Grødum;Skøyter;http://pub.tv2.no/nettavisen/sport/torino2006/article537750.ece;http://www.nrk.no/sport/meisterskap/torino_2006/5385690.html
Håvard Bøkko;Skøyter;http://pub.tv2.no/nettavisen/sport/torino2006/article537752.ece;
Petter Andersen;Skøyter;http://pub.tv2.no/nettavisen/sport/torino2006/article537753.ece;
Even Wetten;Skøyter;http://pub.tv2.no/nettavisen/sport/torino2006/article537755.ece;
Michael Flygind Larsen;Skøyter;http://pub.tv2.no/nettavisen/sport/torino2006/article537754.ece;
Maren Haugli;Skøyter;http://pub.tv2.no/nettavisen/sport/torino2006/article537756.ece;
Odd Borgersen;Skøyter;http://pub.tv2.no/nettavisen/sport/torino2006/article547168.ece;
Annette Bjelkevik;Skøyter;http://pub.tv2.no/nettavisen/sport/torino2006/article547664.ece;
Hedvig Bjelkevik;Skøyter;http://pub.tv2.no/nettavisen/sport/torino2006/article547665.ece;
Fredrik Austbø;Snowboard;http://pub.tv2.no/nettavisen/sport/torino2006/article547171.ece;
Kjersti Buaas;Snowboard;http://pub.tv2.no/nettavisen/sport/torino2006/article537559.ece;
Daniel Franck;Snowboard;http://pub.tv2.no/nettavisen/sport/torino2006/article537573.ece;http://www.nrk.no/sport/meisterskap/torino_2006/5385706.html
Kim Christiansen;Snowboard;http://pub.tv2.no/nettavisen/sport/torino2006/article537581.ece;
Halvor Lunn;Snowboard;http://pub.tv2.no/nettavisen/sport/torino2006/article547175.ece;
